model,effort,n,total_usd,mean_usd,se_usd,long_context_upper_total_usd,long_context_upper_mean_usd
astra,low,23,39.599052,1.7216979130434782,0.41419451147245395,75.528654,3.2838545217391304
astra,medium,23,34.070974,1.481346695652174,0.15597833408641493,64.193002,2.791000086956522
astra,high,23,39.35449,1.7110647826086958,0.1651317145058697,73.99585499999999,3.2172110869565214
astra,extra-high,23,52.946512,2.302022260869565,0.24434849380850918,97.835024,4.253696695652174
astra,max,23,59.06695,2.5681282608695652,0.2838587216870519,107.862525,4.689675
fable,low,23,183.1655405,7.963719152173913,2.2181124769527103,183.1655405,7.963719152173913
fable,medium,23,211.27822225,9.186009663043478,2.6597248801056277,211.27822225,9.186009663043478
fable,high,23,223.13621875,9.70157472826087,2.390256854448269,223.13621875,9.70157472826087
fable,extra-high,23,333.16960625,14.485635054347826,4.229534846712801,333.16960625,14.485635054347826
fable,max,23,208.35155575,9.058763293478261,0.869992849218678,208.35155575,9.058763293478261
