model,effort,n,combined,code_quality,functional,automated_quality,security,passed,mean_minutes,summed_solver_hours,raw_tokens,historical_summary_units,solver_fallback_runs
GPT-6 Astra,low,23,91.60173913043478,81.89108695652175,99.71,81.29739130434783,87.82608695652173,22,4.218694202898551,1.617166111111111,20474694,20474694,0
GPT-6 Astra,medium,23,91.72858695652174,83.04304347826087,100.0,81.59695652173913,85.8695652173913,23,3.8226376811594203,1.4653444444444443,15736923,15736923,0
GPT-6 Astra,high,23,91.5855652173913,85.18152173913045,100.0,81.05304347826088,82.6086956521739,23,4.899905797101449,1.8782972222222223,17652773,17652773,0
GPT-6 Astra,extra-high,23,92.3903695652174,86.17391304347827,100.0,81.61695652173913,86.08695652173913,23,8.090497101449275,3.1013572222222225,21331912,21331912,0
GPT-6 Astra,max,23,92.25321739130435,86.53652173913044,100.0,80.87130434782608,85.43478260869566,23,10.280539855072464,3.9408736111111113,21847403,21847403,0
Fable 5.1 with fallbacks,low,23,91.03630434782609,80.71717391304348,96.11782608695653,82.58869565217391,96.30434782608695,19,26.89704927536232,10.310535555555555,100833634,15587824,1
Fable 5.1 with fallbacks,medium,23,91.56089130434782,82.43456521739131,97.57739130434783,83.27869565217391,91.95652173913044,20,31.72126666666667,12.15981888888889,160360100,21531428,3
Fable 5.1 with fallbacks,high,23,90.97215217391305,83.81152173913044,98.45782608695652,82.62652173913044,83.91304347826087,20,28.76137608695652,11.025194166666667,126230303,18991317,2
Fable 5.1 with fallbacks,extra-high,23,91.52895652173913,84.95673913043478,99.1304347826087,83.22173913043478,83.26086956521739,22,38.77324927536232,14.86307888888889,263013721,17223097,3
Fable 5.1 with fallbacks,max,23,92.89621739130435,85.36304347826086,100.0,82.15739130434783,90.0,23,27.09635579710145,10.386936388888888,87936207,15532297,2
