model,effort,n,combined_33,combined_33_se,combined_20_profile,code_quality,code_quality_se,reviewed_score,intent_recovery,readability,maintainability,muse_reviewed,grok_reviewed,functional,automated_quality,security,passed,mean_minutes,solver_fallback_runs,mean_raw_tokens,mean_usd,total_usd,long_context_upper_mean_usd
GPT-6 Astra,low,23,87.4325,0.5104,89.2854,70.3092,1.0283,66.9384,79.2980,60.9601,72.9167,65.6703,68.2065,99.7100,81.2974,87.8261,22,4.2187,0,890204.1,1.721698,39.599052,3.283855
GPT-6 Astra,medium,23,87.7262,0.3185,89.3573,71.1864,0.9181,67.8442,80.0989,61.6848,74.0036,64.9457,70.7428,100.0000,81.5970,85.8696,23,3.8226,0,684214.0,1.481347,34.070974,2.791000
GPT-6 Astra,high,23,88.1580,0.4248,89.2443,73.4751,1.2433,70.5616,81.2446,63.9493,77.1739,68.2065,72.9167,100.0000,81.0530,82.6087,23,4.8999,0,767511.9,1.711065,39.354490,3.217211
GPT-6 Astra,extra-high,23,89.1616,0.2971,90.2506,75.4749,0.9368,73.0978,81.8139,67.8442,78.3514,72.1014,74.0942,100.0000,81.6170,86.0870,23,8.0905,0,927474.4,2.302022,52.946512,4.253697
GPT-6 Astra,max,23,89.3033,0.3663,90.1988,76.2645,0.8840,74.4565,81.0857,69.1123,79.8007,73.5507,75.3623,100.0000,80.8713,85.4348,23,10.2805,0,949887.1,2.568128,59.066950,4.689675
Fable 5.1,low,23,89.1225,1.1538,90.5642,78.3565,1.9838,78.3062,78.4906,76.9022,79.7101,78.7138,77.8986,96.1178,82.5887,96.3043,19,26.8970,1,4384071.0,7.963719,183.165540,7.963719
Fable 5.1,medium,23,90.1293,0.9394,91.1016,80.1382,1.1928,80.1630,80.0720,78.8043,81.5217,80.2536,80.0725,97.5774,83.2787,91.9565,20,31.7213,3,6972178.3,9.186010,211.278222,9.186010
Fable 5.1,high,23,90.0689,0.7822,90.3820,80.8610,1.5624,81.3406,79.5820,79.8007,82.8804,81.2500,81.4312,98.4578,82.6265,83.9130,20,28.7614,2,5488274.0,9.701575,223.136219,9.701575
Fable 5.1,extra-high,23,90.7543,0.8210,90.9243,81.9336,1.5013,82.3822,80.7371,80.8877,83.8768,82.7899,81.9746,99.1304,83.2217,83.2609,22,38.7732,3,11435379.2,14.485635,333.169606,14.485635
Fable 5.1,max,23,91.8365,0.4651,92.3103,82.4337,1.0986,82.6540,81.8462,80.7971,84.5109,83.4239,81.8841,100.0000,82.1574,90.0000,23,27.0964,2,3823313.3,9.058763,208.351556,9.058763
