model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,solver_fallback,duration_s,raw_tokens,estimated_usd,long_context_upper_usd,started_at,finished_at,solver_cli_version,evidence_sha256
astra,low,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-2795d86b,85.7336,87.1346,100.00,82.16,75.00,67.8030,69.7917,62.5000,68.7500,66.6667,70.8333,75.0000,70.8333,62.5000,79.1667,50.0000,False,164.289,404405,1.013498,1.922371,2026-09-05T00:53:34.109295+00:00,2026-09-05T00:56:18.402675+00:00,codex-cli 0.153.4,485bd9fa28f3f7437bfbe2cbd438c640c88da42f6c5045689d04c32cec5c21da
astra,low,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-29bd1fd0,88.4179,91.0138,100.00,80.03,100.00,70.0466,64.5833,84.6154,60.4167,50.0000,70.8333,88.4615,68.7500,62.5000,75.0000,80.7692,False,257.333,1275502,2.415884,4.663968,2026-09-05T01:14:15.962275+00:00,2026-09-05T01:18:33.301558+00:00,codex-cli 0.153.4,575c0b3e01e0c266861233cfc31cd958dd0aca1a6f91fc055987b6a02ffc1f06
astra,low,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-b554292c,90.9689,92.8612,100.00,83.09,100.00,76.9886,71.8750,90.6250,72.9167,66.6667,79.1667,93.7500,70.8333,66.6667,75.0000,87.5000,False,213.298,565858,1.224124,2.312423,2026-09-05T00:23:29.782200+00:00,2026-09-05T00:27:03.084934+00:00,codex-cli 0.153.4,1c89c1e451ad547e48a9820a3da0c764e7b7c81a3aa7ce2f897609ebd0dec7db
astra,low,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-bafee3b8,85.0367,89.1468,100.00,81.88,100.00,59.3240,63.5417,48.0769,60.4167,58.3333,62.5000,50.0000,66.6667,66.6667,66.6667,46.1538,False,220.836,1143288,2.176088,4.214951,2026-09-05T01:06:28.019923+00:00,2026-09-05T01:10:08.861708+00:00,codex-cli 0.153.4,558d99393c80014d3fa3ce53a61e4af9eb4b2cd0ca301dd13abd1158467db604
astra,low,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-51fc950c,90.6040,91.2396,100.00,83.87,85.00,79.5455,71.8750,100.0000,75.0000,70.8333,79.1667,100.0000,68.7500,62.5000,75.0000,100.0000,False,161.683,346617,0.891018,1.677186,2026-09-05T00:20:47.961336+00:00,2026-09-05T00:23:29.649949+00:00,codex-cli 0.153.4,f3cc7da71da6a24647669e6c2774cdafb13ba8948f5cfcda96f4bce7db00485d
astra,low,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-f862ad6f,83.4413,85.4400,100.00,74.06,80.00,61.6550,55.2083,78.8462,47.9167,41.6667,54.1667,76.9231,62.5000,54.1667,70.8333,80.7692,False,459.851,2377282,4.137676,7.960277,2026-09-05T00:58:48.021130+00:00,2026-09-05T01:06:27.878855+00:00,codex-cli 0.153.4,f0f3b039a3b8a92eab892e0976030f669ed81dc6b21710066338ef46cd1084c1
astra,low,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-3d731b21,89.2214,91.8051,100.00,83.12,100.00,71.6856,64.5833,90.6250,64.5833,66.6667,62.5000,87.5000,64.5833,62.5000,66.6667,93.7500,False,208.996,579364,1.202216,2.270232,2026-09-05T00:37:02.725225+00:00,2026-09-05T00:40:31.725718+00:00,codex-cli 0.153.4,c581ceae52d393f46a8013fcbe7c7b610a14a2d449f486e8174391c4a01bc4d3
astra,low,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-6c2074b3,89.1524,90.4160,100.00,79.44,90.00,75.0000,65.6250,100.0000,68.7500,62.5000,75.0000,100.0000,62.5000,62.5000,62.5000,100.0000,False,246.805,1296678,2.441132,4.733114,2026-09-05T01:10:09.012025+00:00,2026-09-05T01:14:15.822958+00:00,codex-cli 0.153.4,8c349300021b489be1f3445560c1d43f9c726c1c9a569c65f3f06a8cf90c6cad
astra,low,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-0bf9e2c4,87.6210,89.4514,100.00,79.07,90.00,70.4545,66.6667,80.5556,68.7500,54.1667,83.3333,77.7778,64.5833,58.3333,70.8333,83.3333,False,164.558,496375,1.062734,2.027043,2026-09-05T00:09:36.554583+00:00,2026-09-05T00:12:21.117326+00:00,codex-cli 0.153.4,40b36de42c1e4733c0a0b1b214c635e1db6184f960b6a2a224ff65eeb995fb8b
astra,low,legacy-metercore-binary-parity,legacy-metercore-binary-parity-27686aac,86.7190,88.1494,100.00,81.40,80.00,69.6970,67.7083,75.0000,64.5833,54.1667,75.0000,75.0000,70.8333,62.5000,79.1667,75.0000,False,142.095,278076,0.899904,1.720383,2026-09-05T00:18:25.654647+00:00,2026-09-05T00:20:47.755091+00:00,codex-cli 0.153.4,9818e27603743228b81d4126561f2bbbe1b55d82af599e4c557582ef8c8bd7ba
