model,effort,task,run_id,total_score_pct,functional_pct,automated_quality_pct,security_pct,code_quality_pct,astra_reviewer_pct,claude_reviewer_pct,solver_fallback,duration_s,raw_tokens,estimated_api_usd,astra_long_context_upper_usd,started_at,finished_at,solver_cli_version,solver_stream_sha256,patch_sha256
astra,low,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-2795d86b,90.574,100.0,82.16,75.0,85.00000000000001,92.0,78.0,False,164.289,404405,1.013498,1.922371,2026-09-05T00:53:34.109295+00:00,2026-09-05T00:56:18.402675+00:00,codex-cli 0.153.4,cf3eff14285ec485a10dcd548443b6bdba67c33dfdc32475f9c56c76ff2a3a67,ec9f727f8c70358a2a9bcac3db3ad2d5d12b0ecdfeb898c055b76d905197a05d
astra,low,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-29bd1fd0,93.7045,100.0,80.03,100.0,83.5,89.67,77.33,False,257.333,1275502,2.4158839999999997,4.663968,2026-09-05T01:14:15.962275+00:00,2026-09-05T01:18:33.301558+00:00,codex-cli 0.153.4,d4d96a024c57332918ac92ce43cf67eb40c96c6063d4d6833b9b072b4a2961ac,2a35cef4c8d6fb5d9b92b4d8d63007517fb307f656e258b84a5168cc728db729
astra,low,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-b554292c,94.2635,100.0,83.09,100.0,84.00000000000001,91.33,76.67,False,213.298,565858,1.224124,2.312423,2026-09-05T00:23:29.782200+00:00,2026-09-05T00:27:03.084934+00:00,codex-cli 0.153.4,a515bea8a47e658946011aee817034b2d0750a5ec582974cb92a9b65aa4a80aa,2286e8f7ce20c099b37e8a35f088dce41ee9518b1e2ed2f9c5b0ff29a87117d6
astra,low,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-bafee3b8,93.482,100.0,81.88,100.0,81.0,84.33,77.66999999999999,False,220.836,1143288,2.176088,4.214951,2026-09-05T01:06:28.019923+00:00,2026-09-05T01:10:08.861708+00:00,codex-cli 0.153.4,17322d3c0a060af0d3a988bedfb7bc942977cf18128c46f69a809c4cbb28b5f9,28477813ae29f676441799e3dd623269d20d867878c68a0756d29f77ee1bdf3d
astra,low,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-51fc950c,91.6965,100.0,83.87,85.0,81.83,90.33,73.33,False,161.683,346617,0.891018,1.6771859999999998,2026-09-05T00:20:47.961336+00:00,2026-09-05T00:23:29.649949+00:00,codex-cli 0.153.4,872eb4d0264e2e310be735d925c7e2938ce3a0dad159a7d0f1bac263267044de,a87faa458fdbf43f302648000c31590b64a653e5cea1776abfd13993a6e7e498
astra,low,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-f862ad6f,89.409,100.0,74.06,80.0,81.5,84.33,78.67,False,459.851,2377282,4.137676,7.960277,2026-09-05T00:58:48.021130+00:00,2026-09-05T01:06:27.878855+00:00,codex-cli 0.153.4,f9a4fe787828e17deeb3335ab7cba62facaa3c94f063641172ae0e43320ab5f8,2b8f8650b27b2778dd8d3ae067e6e009bb54c9ee140aae509e285333c0688d97
astra,low,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-3d731b21,94.70100000000001,100.0,83.12,100.0,86.165,91.33,81.0,False,208.996,579364,1.202216,2.270232,2026-09-05T00:37:02.725225+00:00,2026-09-05T00:40:31.725718+00:00,codex-cli 0.153.4,c09238d33624918779f2b5eb58d55a614107f14526242a2328915fd759e6a826,693af0b7c2fa9706fab28dbf97e4053c4788b9b7e6650aa8d6348b73796f3dd1
astra,low,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-6c2074b3,91.88199999999999,100.0,79.44,90.0,82.33,90.33,74.33,False,246.805,1296678,2.4411319999999996,4.733114,2026-09-05T01:10:09.012025+00:00,2026-09-05T01:14:15.822958+00:00,codex-cli 0.153.4,e3e300ffd32fcdedb1812d86df3cf3dc3febe8980f7900c3a48aec6cc05d8732,cfac658429d1d09a0bd506d7d1088b9ee49f63f0d5c7d2898e72ce0d4c8324cb
astra,low,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-0bf9e2c4,90.7605,100.0,79.07,90.0,77.0,86.67,67.33,False,164.558,496375,1.062734,2.027043,2026-09-05T00:09:36.554583+00:00,2026-09-05T00:12:21.117326+00:00,codex-cli 0.153.4,9d73ebab81f3ec2d72f4897d93724f5879348ef27dc59df8968019ae7c80bcc8,bb8b71dde2070d56785996b4002c6335e06fc08ce15a4daa994b690530b6c0af
astra,low,legacy-metercore-binary-parity,legacy-metercore-binary-parity-27686aac,90.444,100.0,81.39999999999999,80.0,81.17000000000002,89.67,72.67,False,142.095,278076,0.899904,1.720383,2026-09-05T00:18:25.654647+00:00,2026-09-05T00:20:47.755091+00:00,codex-cli 0.153.4,aeef4362a52bd60f49ba9eb41ed247e598432f70e706481a0c98f945d3f656d2,f381b8897bc40529e5d4ab7981b407a7118257d2d7166b3f3a48c9b03a0c9e95
astra,low,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-30b8dc98,90.49149999999999,100.0,81.83,75.0,84.835,91.0,78.67,False,153.67,311139,0.855222,1.609269,2026-09-05T00:51:00.307110+00:00,2026-09-05T00:53:33.981625+00:00,codex-cli 0.153.4,b1112818c146a200ab2a82f4c8a4751895becc6e591896c4364e72764432abbe,990c2ecce863f20d890347c9c37a7c2503e1b7844be5d27baed1cb311bcbd1c6
astra,low,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-9613f3e9,84.309,93.33,74.96000000000001,80.0,72.0,81.33,62.67,False,1525.72,6777579,10.107861999999999,19.261699,2026-09-05T01:18:33.448000+00:00,2026-09-05T01:43:59.178042+00:00,codex-cli 0.153.4,749adb3f9cc9bb7ba488aa4fc6ac37b66a53c344c1084e6abbf5d4dad24b8c6e,3dc0064d0b16ddf3e52c8f84fab608183fe137a6c3c2419d5855d0c94f168a29
