rank,model,lab,harness,effort,best_effort,n,combined_33,combined_33_se,code_quality,passed,mean_minutes,mean_usd,mean_raw_tokens,median_output_tokens,mean_output_tokens,report,protocol
1,Fable 5.1,Anthropic,Claude Code,max,True,23,91.8365,0.4651,82.4337,23,27.0964,9.058763,3823313.3,91462.0,101244.1,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
2,Opus 5.5,Anthropic,Claude Code,high,True,22,91.1081,0.5658,77.9900,22,21.4192,3.269444,4106100.0,38606.0,56707.3,benchmarks/swe-v4-opus55-v315.html,code-quality-maintenance-v3.15
3,Opus 5.5,Anthropic,Claude Code,medium,False,23,90.8635,0.6416,77.3171,23,18.6446,2.842201,5012348.0,25494.0,46207.0,benchmarks/swe-v4-opus55-v315.html,code-quality-maintenance-v3.15
4,Fable 5.1,Anthropic,Claude Code,extra-high,False,23,90.7543,0.8210,81.9336,22,38.7732,14.485635,11435379.2,75428.0,144967.5,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
5,Opus 5.5,Anthropic,Claude Code,extra-high,False,23,90.6788,1.0968,79.9809,22,20.7470,4.111557,3895567.8,57294.0,69891.8,benchmarks/swe-v4-opus55-v315.html,code-quality-maintenance-v3.15
6,Opus 5.5,Anthropic,Claude Code,max,False,23,90.2197,1.0241,79.7695,21,37.5113,8.748014,8723496.2,108580.0,136790.5,benchmarks/swe-v4-opus55-v315.html,code-quality-maintenance-v3.15
7,Fable 5.1,Anthropic,Claude Code,medium,False,23,90.1293,0.9394,80.1382,20,31.7213,9.186010,6972178.3,52146.0,92556.3,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
8,Fable 5.1,Anthropic,Claude Code,high,False,23,90.0689,0.7822,80.8610,20,28.7614,9.701575,5488274.0,64836.0,105501.6,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
9,GPT-6 Astra,OpenAI,Codex,max,True,23,89.3033,0.3663,76.2645,23,10.2805,2.568128,949887.1,16336.0,17863.3,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
10,GPT-6 Astra,OpenAI,Codex,extra-high,False,23,89.1616,0.2971,75.4749,23,8.0905,2.302022,927474.4,12768.0,14013.9,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
11,Fable 5.1,Anthropic,Claude Code,low,False,23,89.1225,1.1538,78.3565,19,26.8970,7.963719,4384071.0,40844.0,85756.6,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
12,GPT-5.6 Terra,OpenAI,Codex,max,True,23,89.0535,0.7139,72.5197,23,19.7351,1.882200,4682504.4,42084.0,53547.2,benchmarks/swe-v4-terra-v36.html,code-quality-maintenance-v3.6
13,GPT-6 Astra,OpenAI,Codex,high,False,23,88.1580,0.4248,73.4751,23,4.8999,1.711065,767511.9,8056.0,8196.7,benchmarks/swe-v4-astra-fable51-v34.html,code-quality-maintenance-v3.4
