model,effort,task,run_id,judged_under,judged,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,passed_quirk_families,duration_s,raw_tokens,devin_credits,devin_acu,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
swe2,medium,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-3a67acc9,code-quality-maintenance-v3.11,published,86.5249,90.0517,100.00,81.91,100.00,63.8258,66.6667,56.2500,False,66.6667,54.1667,79.1667,56.2500,9,3521.286,11349553,0,0.0,0.00,2026-09-19T08:52:34.335176+00:00,2026-09-19T09:51:15.629183+00:00,devin 3000.10.31 (b98cc431),8a02429511c4b1b166d3d70f558fc1082497f6dc4c80090f0933178404e8c67d
swe2,medium,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-cf23d67f,code-quality-maintenance-v3.11,published,79.0928,82.0512,85.71,74.99,100.00,64.7383,58.3333,81.8182,False,58.3333,50.0000,66.6667,81.8182,12,6185.706,46169890,0,0.0,0.00,2026-09-19T16:22:29.110088+00:00,2026-09-19T18:05:34.837419+00:00,devin 3000.10.31 (b98cc431),79edbcc1f594b973d790d8a27349813d50225b2b739a6a3b434c7246ad749016
swe2,medium,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-7505d504,code-quality-maintenance-v3.11,published,59.3213,61.5830,40.00,80.25,100.00,72.7273,62.5000,100.0000,False,62.5000,58.3333,66.6667,100.0000,4,552.55,2464493,0,0.0,0.00,2026-09-19T04:07:47.490062+00:00,2026-09-19T04:17:00.049534+00:00,devin 3000.10.31 (b98cc431),57d7d2092c57289083c760827bb9a486d0a492f9de36eedf59d85269d15a40a2
swe2,medium,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-3bc94317,code-quality-maintenance-v3.11,published,73.2673,78.3541,85.71,73.30,100.00,47.5207,50.0000,40.9091,False,50.0000,37.5000,62.5000,40.9091,12,7730.517,60632607,0,0.0,0.00,2026-09-19T12:14:23.785691+00:00,2026-09-19T14:23:14.353171+00:00,devin 3000.10.31 (b98cc431),387353c085e34113368137d6507cab857def391f9473c7b22870eed5c2a772a3
swe2,medium,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-ec9cb38e,code-quality-maintenance-v3.11,published,87.2983,90.3303,100.00,79.98,100.00,66.6667,58.3333,88.8889,False,58.3333,58.3333,58.3333,88.8889,9,1974.719,8058079,0,0.0,0.00,2026-09-19T03:34:52.621090+00:00,2026-09-19T04:07:47.353791+00:00,devin 3000.10.31 (b98cc431),33ad3aec5ea72e9350a5a433cdc8b12ec4b0e02c6abe22ae585185d2bcb10919
swe2,medium,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-36523001,code-quality-maintenance-v3.11,published,79.2066,82.6914,92.86,66.49,100.00,56.4394,47.9167,79.1667,False,47.9167,41.6667,54.1667,79.1667,13,7389.09,77419454,0,0.0,0.00,2026-09-19T10:11:14.494739+00:00,2026-09-19T12:14:23.635108+00:00,devin 3000.10.31 (b98cc431),937441274410a547e8fed874a592ede3b36d06659090b481a99c916c4dfacf46
swe2,medium,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-129d64b0,code-quality-maintenance-v3.11,published,86.3306,89.7813,100.00,80.36,100.00,63.6364,50.0000,100.0000,False,50.0000,45.8333,54.1667,100.0000,8,797.734,3622064,0,0.0,0.00,2026-09-19T06:26:03.849193+00:00,2026-09-19T06:39:21.588947+00:00,devin 3000.10.31 (b98cc431),8b8073dff51162907317546dbc676d3d22655b05eaccf6f333589c54033644d5
swe2,medium,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-59067d84,code-quality-maintenance-v3.11,published,75.5944,79.5262,83.33,75.64,100.00,57.5758,41.6667,100.0000,False,41.6667,37.5000,45.8333,100.0000,10,7154.489,32020719,0,0.0,0.00,2026-09-19T14:23:14.479211+00:00,2026-09-19T16:22:28.982494+00:00,devin 3000.10.31 (b98cc431),26d5d3f62d87d75951d2a44d20ace9e53c6f08dd560b1774e74ec87b098f8c8b
swe2,medium,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-f99ea349,code-quality-maintenance-v3.11,published,84.9549,88.5122,100.00,75.94,100.00,60.6061,54.1667,77.7778,False,54.1667,37.5000,70.8333,77.7778,9,1398.376,3228898,0,0.0,0.00,2026-09-19T02:14:17.633091+00:00,2026-09-19T02:37:36.012662+00:00,devin 3000.10.31 (b98cc431),4f9a8332fe388ecbcf98aca19368f76c1b2d45be95fcf60a75ab1c0bc99e1d59
swe2,medium,legacy-metercore-binary-parity,legacy-metercore-binary-parity-04a867c1,code-quality-maintenance-v3.11,published,91.7604,93.3527,100.00,83.21,100.00,79.3561,83.3333,68.7500,False,83.3333,83.3333,83.3333,68.7500,9,1306.525,1158122,0,0.0,0.00,2026-09-19T03:13:05.963865+00:00,2026-09-19T03:34:52.489309+00:00,devin 3000.10.31 (b98cc431),25c02009d5cbd116ed37bf1a400f1cb87bb6880fa3afdb23aed420c31f055c9c
swe2,medium,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-854303b8,code-quality-maintenance-v3.11,published,85.1871,87.0870,88.89,82.26,100.00,76.5152,70.8333,91.6667,False,70.8333,62.5000,79.1667,91.6667,8,926.657,4464329,0,0.0,0.00,2026-09-19T08:37:07.527511+00:00,2026-09-19T08:52:34.190745+00:00,devin 3000.10.31 (b98cc431),1d39396713846427311b8fb523b0591bf65875cce3709352dae650e7b2dd13f7
swe2,medium,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-33e03cc0,code-quality-maintenance-v3.11,published,54.5517,56.3090,60.00,76.05,40.00,44.5076,35.4167,68.7500,False,35.4167,25.0000,45.8333,68.7500,9,9695.565,64289025,0,0.0,0.00,2026-09-19T18:05:34.965904+00:00,2026-09-19T20:47:10.570689+00:00,devin 3000.10.31 (b98cc431),55cb04c671b68f75f117f3b541685f6a2f1942ced3fffc86249a0a4bc69d8bfc
