model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,passed_quirk_families,duration_s,raw_tokens,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
gpt55,low,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-90e6a4ce,59.0042,62.2949,44.44,80.55,100.00,64.9621,63.5417,68.7500,False,64.5833,58.3333,70.8333,62.5000,62.5000,58.3333,66.6667,75.0000,4,392.337,1292536,1.466497,2026-09-11T00:34:41.307322+00:00,2026-09-11T00:41:13.647815+00:00,codex-cli 0.153.4,b5b3ba559aa5df7b904ea84a08082d1ce1b2c9e14767d116f5f9b5563f8a1056
gpt55,low,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-631c5f52,36.9205,42.4552,14.29,75.30,100.00,45.0758,57.2917,12.5000,False,54.1667,50.0000,58.3333,0.0000,60.4167,62.5000,58.3333,25.0000,2,475.669,1702843,1.752173,2026-09-11T01:14:49.193327+00:00,2026-09-11T01:22:44.867550+00:00,codex-cli 0.153.4,49a04fc6971dd500dc309c110ea5fa4ca2d07bd5cfbe27ff902ca0b792132bff
gpt55,low,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-cd0f2ed3,50.4666,52.4455,20.00,81.96,100.00,75.7576,66.6667,100.0000,False,66.6667,62.5000,70.8333,100.0000,66.6667,62.5000,70.8333,100.0000,2,189.031,493344,0.621798,2026-09-10T23:26:45.091839+00:00,2026-09-10T23:29:54.125872+00:00,codex-cli 0.153.4,8a0c85f5cda3d5f0444232b6981d42d8e55553c61330162f8a1d18b9c7e059d1
gpt55,low,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-05292c40,34.5467,38.2264,0.00,75.55,100.00,59.4697,67.7083,37.5000,False,66.6667,54.1667,79.1667,50.0000,68.7500,58.3333,79.1667,25.0000,4,402.319,1265374,1.541470,2026-09-11T01:01:23.937370+00:00,2026-09-11T01:08:06.260741+00:00,codex-cli 0.153.4,eba0ebb3f4f8d4960d4ed2c8e119feafe6efb5b90f77794f1194b3509686db6d
gpt55,low,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-ab6edb01,36.8145,39.9111,0.00,78.70,100.00,65.5303,57.2917,87.5000,False,60.4167,50.0000,70.8333,83.3333,54.1667,50.0000,58.3333,91.6667,5,516.13,3114552,2.791568,2026-09-10T23:18:08.821975+00:00,2026-09-10T23:26:44.957721+00:00,codex-cli 0.153.4,059ddf0c50162da3875f841dc82804655652c0b35796867f46c1d4cbb9787d0d
gpt55,low,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-96493e5d,44.9345,48.2192,21.43,70.23,100.00,59.8485,51.0417,83.3333,False,45.8333,37.5000,54.1667,83.3333,56.2500,50.0000,62.5000,83.3333,3,652.972,2802517,2.601378,2026-09-11T00:50:30.829961+00:00,2026-09-11T01:01:23.808641+00:00,codex-cli 0.153.4,5e50629adcd912d2dc1d349b6d4f2a05ca8a0514c817c8e3e7708f635e71e86f
gpt55,low,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-d9df21d1,59.3712,63.5830,50.00,80.25,100.00,57.7273,53.1250,70.0000,False,50.0000,45.8333,54.1667,70.0000,56.2500,58.3333,54.1667,70.0000,4,500.262,1589525,2.015609,2026-09-10T23:47:49.300740+00:00,2026-09-10T23:56:09.567394+00:00,codex-cli 0.153.4,e0c9a2ff18e912b4abd51a062fbd89e331fb404941e186cb7665f783391428f9
gpt55,low,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-45ecc4c1,41.6139,45.7724,16.67,75.34,100.00,55.6818,62.5000,37.5000,False,62.5000,58.3333,66.6667,25.0000,62.5000,62.5000,62.5000,50.0000,2,402.647,1480108,1.658058,2026-09-11T01:08:06.402672+00:00,2026-09-11T01:14:49.054147+00:00,codex-cli 0.153.4,513cb4267966063725ec7ca80f4a1c38c3101d227cf1b552ee0635917c698b1e
gpt55,low,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-a55438f6,69.0459,72.0641,66.67,73.49,100.00,63.5281,55.2083,85.7143,False,50.0000,41.6667,58.3333,85.7143,60.4167,58.3333,62.5000,85.7143,6,1225.764,5281893,4.595827,2026-09-10T22:30:37.865742+00:00,2026-09-10T22:51:03.636403+00:00,codex-cli 0.153.4,f9e8ccadb369e186080a67c20a2dbe99d1966ce29e833e9dfcf36adf55a3ea9f
gpt55,low,legacy-metercore-binary-parity,legacy-metercore-binary-parity-2f92153e,87.1424,90.4535,100.00,82.19,100.00,65.6250,65.6250,65.6250,False,68.7500,66.6667,70.8333,62.5000,62.5000,58.3333,66.6667,68.7500,9,714.705,1756497,1.823814,2026-09-10T23:06:13.976401+00:00,2026-09-10T23:18:08.687330+00:00,codex-cli 0.153.4,3b8decf89adbf2b6d7f65a0ac4161fcd8c770c5a03885bded7d2b5dcc848b41f
