model,effort,task,run_id,judged,combined_33,functional_pct,code_quality,reviewed_score,intent_recovery,muse_reviewed,grok_reviewed,solver_fallback,opus48_replies,all_replies,duration_s,raw_tokens,estimated_usd,solver_cli_version
opus55,low,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-f8a3d096,published,87.8465,100.00,67.8977,68.7500,65.6250,72.9167,64.5833,False,0,43,279.551,1089365,1.013025,2.1.280 (Claude Code)
opus55,low,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-b2fc6836,published,82.9440,92.86,65.3409,62.5000,72.9167,60.4167,64.5833,False,0,177,1441.624,6438698,3.815578,2.1.280 (Claude Code)
opus55,low,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-fa5b46d8,published,68.6809,60.00,70.4545,65.6250,83.3333,68.7500,62.5000,False,0,41,193.85,631076,0.611683,2.1.280 (Claude Code)
opus55,low,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-c337288a,published,84.7604,100.00,60.8974,63.5417,53.8462,60.4167,66.6667,False,0,149,1358.746,5515803,3.804768,2.1.280 (Claude Code)
opus55,low,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-efd0590a,published,92.2472,100.00,81.0606,76.0417,94.4444,77.0833,75.0000,False,0,74,312.951,1248805,0.939261,2.1.280 (Claude Code)
opus55,low,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-c331667f,published,86.3438,100.00,65.7343,59.3750,82.6923,58.3333,60.4167,False,0,111,948.555,3375109,2.646591,2.1.280 (Claude Code)
opus55,low,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-0af08c03,published,89.5105,100.00,72.4432,75.0000,65.6250,77.0833,72.9167,False,0,111,1806.95,3758568,2.165328,2.1.280 (Claude Code)
opus55,low,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-607fb821,published,88.8848,100.00,72.8650,63.5417,97.7273,66.6667,60.4167,False,0,109,856.46,4077633,2.972763,2.1.280 (Claude Code)
opus55,low,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-c6e4be33,published,89.2941,100.00,73.4848,72.9167,75.0000,68.7500,77.0833,False,0,85,582.355,1621602,1.110092,2.1.280 (Claude Code)
opus55,low,legacy-metercore-binary-parity,legacy-metercore-binary-parity-84413292,published,92.9356,100.00,83.1439,79.1667,93.7500,83.3333,75.0000,False,0,25,293.775,374929,0.513517,2.1.280 (Claude Code)
opus55,low,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-495551ce,published,92.4054,100.00,81.8182,75.0000,100.0000,77.0833,72.9167,False,0,31,229.184,682762,0.744586,2.1.280 (Claude Code)
opus55,low,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-83bd2036,published,83.0171,100.00,55.8442,59.3750,46.4286,58.3333,60.4167,False,0,344,4973.507,23032592,9.008919,2.1.280 (Claude Code)
opus55,low,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-632f531c,published,89.6061,100.00,73.4848,72.9167,75.0000,70.8333,75.0000,False,0,32,319.238,755347,0.783726,2.1.280 (Claude Code)
opus55,low,legacy-qlite-store-parity,legacy-qlite-store-parity-59cb034b,published,94.1877,100.00,87.1212,86.4583,88.8889,89.5833,83.3333,False,0,37,240.14,530547,0.450518,2.1.280 (Claude Code)
opus55,low,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-0980c3be,published,74.8161,75.00,65.9091,65.6250,66.6667,60.4167,70.8333,False,0,61,706.453,979667,0.985138,2.1.280 (Claude Code)
opus55,low,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-851cb412,published,81.8041,80.00,78.7879,70.8333,100.0000,66.6667,75.0000,False,0,37,316.947,478883,0.461232,2.1.280 (Claude Code)
opus55,low,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-0bd46fd8,published,89.7088,100.00,72.4026,68.7500,82.1429,68.7500,68.7500,False,0,114,904.932,2544680,1.620717,2.1.280 (Claude Code)
opus55,low,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-d1c0128d,published,89.0169,100.00,72.1861,69.7917,78.5714,68.7500,70.8333,False,0,57,733.984,919147,0.731283,2.1.280 (Claude Code)
opus55,low,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-96254953,published,76.1223,70.00,78.4632,77.0833,82.1429,79.1667,75.0000,False,0,76,684.72,1527800,0.955029,2.1.280 (Claude Code)
opus55,low,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-80840d44,published,89.1906,100.00,71.4015,77.0833,56.2500,75.0000,79.1667,False,0,45,393.021,746993,0.703353,2.1.280 (Claude Code)
opus55,low,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-472acd3c,published,88.9547,100.00,70.8874,66.6667,82.1429,68.7500,64.5833,False,0,32,263.75,659169,0.641810,2.1.280 (Claude Code)
opus55,low,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-3d7cffeb,published,89.4283,100.00,72.4026,68.7500,82.1429,62.5000,75.0000,False,0,84,508.097,1667736,1.431836,2.1.280 (Claude Code)
opus55,low,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-b10f44bd,published,84.6453,88.89,74.2424,73.9583,75.0000,75.0000,72.9167,False,0,74,543.816,1089650,0.881343,2.1.280 (Claude Code)
opus55,medium,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-33c3ba4c,published,90.9070,100.00,76.8939,82.2917,62.5000,85.4167,79.1667,False,0,40,410.952,872332,1.068503,2.1.280 (Claude Code)
opus55,medium,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-d82acfe4,published,88.2769,100.00,70.8042,65.6250,84.6154,60.4167,70.8333,False,0,105,889.501,3746626,2.776836,2.1.280 (Claude Code)
opus55,medium,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-b0ebaad2,published,93.9151,100.00,85.7955,87.5000,81.2500,87.5000,87.5000,True,58,82,1207.094,3216993,5.003727,2.1.280 (Claude Code)
opus55,medium,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-e0c47309,published,89.1180,100.00,73.3683,77.0833,63.4615,79.1667,75.0000,False,0,115,787.781,3582776,3.001225,2.1.280 (Claude Code)
opus55,medium,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-0401d39d,published,95.3968,100.00,90.1515,88.5417,94.4444,87.5000,89.5833,False,0,34,205.593,499459,0.676949,2.1.280 (Claude Code)
opus55,medium,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-57d2ea47,published,82.6065,100.00,56.2354,52.0833,67.3077,52.0833,52.0833,False,0,292,3754.453,16269480,7.181571,2.1.280 (Claude Code)
opus55,medium,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-1a2a4a6a,published,92.3312,100.00,81.5341,78.1250,90.6250,81.2500,75.0000,False,0,33,414.522,738994,0.932366,2.1.280 (Claude Code)
opus55,medium,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-2ccc8628,published,88.9921,100.00,72.5207,75.0000,65.9091,72.9167,77.0833,False,0,514,6508.85,32948442,12.038366,2.1.280 (Claude Code)
opus55,medium,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-c46f9082,published,92.4293,100.00,82.5758,84.3750,77.7778,83.3333,85.4167,False,0,42,421.498,814586,1.016684,2.1.280 (Claude Code)
opus55,medium,legacy-metercore-binary-parity,legacy-metercore-binary-parity-37ac8ca3,published,93.0864,100.00,83.3333,86.4583,75.0000,91.6667,81.2500,False,0,34,201.517,470398,0.656292,2.1.280 (Claude Code)
opus55,medium,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-7341b9a0,published,91.7591,100.00,79.8701,75.0000,92.8571,79.1667,70.8333,False,0,31,226.041,526449,0.740980,2.1.280 (Claude Code)
opus55,medium,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-1023044a,published,84.8615,100.00,61.3095,63.5417,55.3571,60.4167,66.6667,False,0,421,4021.997,36092865,13.312977,2.1.280 (Claude Code)
opus55,medium,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-532bac48,published,92.0630,100.00,80.3788,83.3333,72.5000,83.3333,83.3333,False,0,29,252.53,440876,0.727617,2.1.280 (Claude Code)
opus55,medium,legacy-qlite-store-parity,legacy-qlite-store-parity-a60b8d1f,published,90.7540,100.00,76.5152,78.1250,72.2222,77.0833,79.1667,False,0,27,232.924,468393,0.743279,2.1.280 (Claude Code)
opus55,medium,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-49043293,published,89.3714,100.00,72.7273,71.8750,75.0000,72.9167,70.8333,False,0,106,1258.4,2348859,1.655661,2.1.280 (Claude Code)
opus55,medium,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-b0ec2749,published,91.1867,100.00,77.2727,72.9167,88.8889,72.9167,72.9167,False,0,88,697.366,1712425,1.505694,2.1.280 (Claude Code)
opus55,medium,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-2f0c5e22,published,86.7947,100.00,63.7446,63.5417,64.2857,64.5833,62.5000,False,0,52,417.973,840851,0.933825,2.1.280 (Claude Code)
opus55,medium,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-37e53442,published,90.8349,100.00,77.7056,76.0417,82.1429,70.8333,81.2500,False,0,53,532.819,1218227,1.234985,2.1.280 (Claude Code)
opus55,medium,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-6eeeaba2,published,92.8646,100.00,83.3333,81.2500,88.8889,81.2500,81.2500,False,0,113,616.825,2291800,1.797026,2.1.280 (Claude Code)
opus55,medium,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-a0c887b5,published,93.0485,100.00,82.7652,83.3333,81.2500,81.2500,85.4167,True,39,64,738.583,1678214,2.445934,2.1.280 (Claude Code)
opus55,medium,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-5892999d,published,95.1953,100.00,89.5022,89.5833,89.2857,93.7500,85.4167,True,59,83,1106.666,2545406,3.696255,2.1.280 (Claude Code)
opus55,medium,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-ae428802,published,92.0593,100.00,80.4113,77.0833,89.2857,77.0833,77.0833,False,0,42,385.785,984547,1.203697,2.1.280 (Claude Code)
opus55,medium,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-6ec1c5d4,published,92.0082,100.00,79.5455,81.2500,75.0000,83.3333,79.1667,False,0,45,439.872,975005,1.020176,2.1.280 (Claude Code)
opus55,high,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-83e1797a,published,89.9306,100.00,73.9583,77.0833,65.6250,81.2500,72.9167,False,0,96,784.978,2441351,1.801415,2.1.280 (Claude Code)
opus55,high,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-25dc57cc,published,86.4619,100.00,65.2681,66.6667,61.5385,62.5000,70.8333,False,0,241,1934.225,8015469,4.689777,2.1.280 (Claude Code)
opus55,high,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-bec49444,published,92.4253,100.00,81.6288,77.0833,93.7500,77.0833,77.0833,False,0,42,408.904,837448,1.194975,2.1.280 (Claude Code)
opus55,high,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-96db74cf,not judged,,0.00,,,,,,False,0,38,335.494,953419,1.517783,2.1.280 (Claude Code)
opus55,high,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-d59f3dc5,published,93.5397,100.00,84.8485,81.2500,94.4444,85.4167,77.0833,False,0,28,188.24,431595,0.672143,2.1.280 (Claude Code)
opus55,high,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-928d74cf,published,84.0961,100.00,60.6643,53.1250,80.7692,47.9167,58.3333,False,0,353,2689.31,14175835,6.281168,2.1.280 (Claude Code)
opus55,high,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-d36ab13c,published,93.3034,100.00,83.6174,83.3333,84.3750,83.3333,83.3333,True,92,111,2716.917,5159331,6.445092,2.1.280 (Claude Code)
opus55,high,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-473cf045,published,88.8665,100.00,72.7273,71.8750,75.0000,70.8333,72.9167,False,0,189,1533.418,8225190,5.326810,2.1.280 (Claude Code)
opus55,high,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-242f6cc1,published,92.8765,100.00,83.3333,85.4167,77.7778,87.5000,83.3333,False,0,78,1060.596,1755857,1.618941,2.1.280 (Claude Code)
opus55,high,legacy-metercore-binary-parity,legacy-metercore-binary-parity-64aaa56b,published,94.2065,100.00,86.6477,87.5000,84.3750,89.5833,85.4167,False,0,48,435.905,726421,0.906976,2.1.280 (Claude Code)
opus55,high,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-46f093aa,published,92.3161,100.00,81.1688,78.1250,89.2857,77.0833,79.1667,False,0,28,330.972,548194,0.917406,2.1.280 (Claude Code)
opus55,high,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-0611f460,published,87.3078,100.00,68.1277,72.9167,55.3571,68.7500,77.0833,False,0,460,5838.426,27123875,11.970945,2.1.280 (Claude Code)
opus55,high,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-5f3aee1d,published,90.0468,100.00,74.3182,75.0000,72.5000,72.9167,77.0833,True,154,192,2554.679,6727841,7.410587,2.1.280 (Claude Code)
opus55,high,legacy-qlite-store-parity,legacy-qlite-store-parity-cfabf434,published,93.1622,100.00,84.0909,84.3750,83.3333,89.5833,79.1667,False,0,29,310.151,475731,0.822003,2.1.280 (Claude Code)
opus55,high,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-163e2e45,published,90.9905,100.00,77.8139,80.2083,71.4286,79.1667,81.2500,True,75,94,1509.481,3230717,4.495349,2.1.280 (Claude Code)
opus55,high,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-e4b6b9df,published,93.3448,100.00,83.3333,82.2917,86.1111,79.1667,85.4167,True,48,67,1096.022,1580955,2.684357,2.1.280 (Claude Code)
opus55,high,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-9f336f25,published,88.0730,100.00,69.0476,70.8333,64.2857,70.8333,70.8333,False,0,116,1025.454,2560144,1.811958,2.1.280 (Claude Code)
opus55,high,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-f297a0fc,published,92.8196,100.00,83.4416,81.2500,89.2857,79.1667,83.3333,True,58,84,1576.353,2776347,4.197431,2.1.280 (Claude Code)
opus55,high,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-d953d0ca,published,92.0585,100.00,81.0606,83.3333,75.0000,85.4167,81.2500,False,0,33,314.168,610056,0.999130,2.1.280 (Claude Code)
opus55,high,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-e3b0e0eb,published,91.9761,100.00,79.4508,82.2917,71.8750,81.2500,83.3333,True,60,78,1306.671,2588994,3.601820,2.1.280 (Claude Code)
opus55,high,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-05829e8a,published,92.3313,100.00,80.8442,75.0000,96.4286,68.7500,81.2500,True,42,60,901.066,2102513,3.903032,2.1.280 (Claude Code)
opus55,high,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-0cf7521c,published,91.1434,100.00,77.3810,72.9167,89.2857,70.8333,75.0000,False,0,39,450.21,813833,1.128287,2.1.280 (Claude Code)
opus55,high,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-1d008f61,published,93.1017,100.00,83.0087,83.3333,82.1429,87.5000,79.1667,False,0,32,256.833,579183,0.799825,2.1.280 (Claude Code)
