model,effort,task,run_id,judged_under,judged,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,passed_quirk_families,duration_s,raw_tokens,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
sol,low,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-1f274ed7,code-quality-maintenance-v3.7,published,74.3294,78.2986,77.78,82.06,100.00,60.4978,60.4167,60.7143,False,58.3333,54.1667,62.5000,64.2857,62.5000,54.1667,70.8333,57.1429,7,246.922,668385,0.724305,2026-09-18T00:58:32.844486+00:00,2026-09-18T01:02:39.771334+00:00,codex-cli 0.153.4,e57c73993020abbdc12be3db5d94086b13f3174af480c58dfa5f5a6006c6fdc7
sol,low,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-4f0888dc,code-quality-maintenance-v3.7,published,57.0527,61.7011,50.00,75.41,100.00,51.9481,50.0000,57.1429,False,52.0833,41.6667,62.5000,50.0000,47.9167,45.8333,50.0000,64.2857,7,1843.256,5429502,3.156610,2026-09-18T01:41:26.040576+00:00,2026-09-18T02:12:09.303508+00:00,codex-cli 0.153.4,a7ed021260105498f225d12d8e8034a053871386055cc5701dc189f42663d1d6
sol,low,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-16fa8a2e,code-quality-maintenance-v3.7,published,65.8413,67.7011,50.00,82.25,100.00,76.8182,71.8750,90.0000,False,75.0000,66.6667,83.3333,100.0000,68.7500,62.5000,75.0000,80.0000,5,369.722,903290,0.767035,2026-09-17T23:27:30.543859+00:00,2026-09-17T23:33:40.272065+00:00,codex-cli 0.153.4,f8b095ad8d5feddb58f9a235061cdff12310e9726831cc2b9946e39725983506
sol,low,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-e2c95df4,code-quality-maintenance-v3.7,published,71.9206,74.7833,71.43,73.89,100.00,64.9242,58.3333,82.5000,False,52.0833,50.0000,54.1667,85.0000,64.5833,66.6667,62.5000,80.0000,10,763.528,3433057,2.361345,2026-09-18T01:17:48.547375+00:00,2026-09-18T01:30:32.083404+00:00,codex-cli 0.153.4,b9cf460ee2722cbfd9bca0450712f80ec0e0b44415ec6507da9f6b2b03634c92
sol,low,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-be0c0d52,code-quality-maintenance-v3.7,published,90.9760,92.4756,100.00,79.13,100.00,78.0303,69.7917,100.0000,False,68.7500,62.5000,75.0000,100.0000,70.8333,62.5000,79.1667,100.0000,9,512.074,1508705,1.225175,2026-09-17T23:18:58.339054+00:00,2026-09-17T23:27:30.417281+00:00,codex-cli 0.153.4,451d8b49596c4babf992d30a7b2e3edad8f00f502535cc62c3dda97d88815067
sol,low,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-c99fcd5e,code-quality-maintenance-v3.7,published,60.5231,63.3563,50.00,70.86,100.00,63.6364,59.3750,75.0000,False,58.3333,50.0000,66.6667,85.7143,60.4167,58.3333,62.5000,64.2857,7,611.623,2831919,1.868537,2026-09-18T01:07:36.766508+00:00,2026-09-18T01:17:48.398366+00:00,codex-cli 0.153.4,8934f280a9e9da16b987e58235e01e66994ff16eebab1d8834d3abcd0830baca
sol,low,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-8295f14c,code-quality-maintenance-v3.7,published,62.4511,65.5421,50.00,81.19,100.00,66.8182,56.2500,95.0000,False,52.0833,50.0000,54.1667,100.0000,60.4167,62.5000,58.3333,90.0000,4,695.367,3403168,2.288726,2026-09-18T00:16:40.928794+00:00,2026-09-18T00:28:16.301450+00:00,codex-cli 0.153.4,f641d7d197775a62923b1b48c5ec46355cc055e5f87eb570b308ff9c3603b666
sol,low,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-4dcbd7ad,code-quality-maintenance-v3.7,published,36.4438,41.1410,8.33,76.81,100.00,52.2727,62.5000,25.0000,False,56.2500,54.1667,58.3333,0.0000,68.7500,70.8333,66.6667,50.0000,1,653.669,1615474,1.368565,2026-09-18T01:30:32.229606+00:00,2026-09-18T01:41:25.905802+00:00,codex-cli 0.153.4,771f926de076ba36c53b9129b750a2f442e31ef952aec52f4564110a1f526628
sol,low,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-033fcb40,code-quality-maintenance-v3.7,published,76.6148,79.1765,77.78,76.91,100.00,68.7500,68.7500,68.7500,False,68.7500,62.5000,75.0000,68.7500,68.7500,62.5000,75.0000,68.7500,7,486.505,1391123,1.188591,2026-09-17T22:47:40.090766+00:00,2026-09-17T22:55:46.600712+00:00,codex-cli 0.153.4,6b6ea2d5d658d7502f995f20c8fc389736f9f7cacd365f5417401a60eca8647d
sol,low,legacy-metercore-binary-parity,legacy-metercore-binary-parity-a28e4bd4,code-quality-maintenance-v3.7,published,87.1082,90.3569,100.00,81.42,100.00,65.7197,64.5833,68.7500,False,62.5000,58.3333,66.6667,75.0000,66.6667,62.5000,70.8333,62.5000,9,344.413,765708,0.667603,2026-09-17T23:13:13.789910+00:00,2026-09-17T23:18:58.207897+00:00,codex-cli 0.153.4,726da7f1ce0662323874f69a26efe0dbe5a0885e5a22736e61ee55b418ee335f
