model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,passed_quirk_families,duration_s,raw_tokens,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
terra,low,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-55f952ff,61.1704,64.0174,44.44,84.71,100.00,70.4545,68.7500,75.0000,False,68.7500,70.8333,66.6667,75.0000,68.7500,66.6667,70.8333,75.0000,4,527.692,2277312,0.924960,2026-09-14T12:36:33.982801+00:00,2026-09-14T12:45:21.679057+00:00,codex-cli 0.153.4,7578149d5c0a2fd0a85189970a9fdecf3156ee5545e63c8faa5a0661eda521af
terra,low,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-7e5594a3,41.1396,43.7999,7.14,77.29,100.00,68.1818,75.0000,50.0000,False,75.0000,75.0000,75.0000,50.0000,75.0000,79.1667,70.8333,50.0000,1,405.959,1350783,0.631658,2026-09-14T13:12:09.601437+00:00,2026-09-14T13:18:55.566226+00:00,codex-cli 0.153.4,a6b0325f2bdc0729b424188cd10d04e5a6bd5c1a008f5c1ce395fca220a47f3c
terra,low,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-994b8684,65.1268,67.2514,50.00,82.08,100.00,74.6970,70.8333,85.0000,False,72.9167,66.6667,79.1667,100.0000,68.7500,62.5000,75.0000,70.0000,5,378.305,1075301,0.506427,2026-09-14T11:30:22.076326+00:00,2026-09-14T11:36:40.386563+00:00,codex-cli 0.153.4,5ca3794891c620b26fba3044a43ebb42707392bf96fd45e18562b4c391b7356c
terra,low,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-34709956,66.8929,70.5091,64.29,75.71,100.00,60.0379,61.4583,56.2500,False,56.2500,50.0000,62.5000,56.2500,66.6667,62.5000,70.8333,56.2500,9,635.708,2415152,1.065677,2026-09-14T12:55:44.003536+00:00,2026-09-14T13:06:19.714755+00:00,codex-cli 0.153.4,f4dcc81a9b6fa13085cd2f3f023352cef65a3180f17d79a4c0fca51c399705ff
terra,low,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-9d75c097,81.4521,82.4627,77.78,80.51,100.00,82.4811,77.0833,96.8750,False,77.0833,70.8333,83.3333,93.7500,77.0833,70.8333,83.3333,100.0000,7,266.363,988967,0.441160,2026-09-14T11:25:55.581690+00:00,2026-09-14T11:30:21.947861+00:00,codex-cli 0.153.4,3840fffd4d4b3a8feba83bdebb0b884ec64c7e999a835e69d81f21b0a5acbe0f
terra,low,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-65a6031a,42.2577,42.7097,0.00,73.62,100.00,83.3333,83.3333,,True,87.5000,95.8333,79.1667,,79.1667,79.1667,79.1667,,0,334.751,977634,0.462564,2026-09-14T12:50:09.117277+00:00,2026-09-14T12:55:43.871233+00:00,codex-cli 0.153.4,514185109f93f36c8c3432cb7409f1c63bf3a20207d76d9cc8ba1ababe230a6e
terra,low,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-d54d43a0,68.1638,71.6260,62.50,82.81,100.00,64.7727,68.7500,54.1667,False,70.8333,75.0000,66.6667,50.0000,66.6667,66.6667,66.6667,58.3333,5,369.697,896471,0.482958,2026-09-14T12:03:31.271217+00:00,2026-09-14T12:09:40.973425+00:00,codex-cli 0.153.4,2f2d70af66002a08e97fe4dca61273f96aee182c941e6dc70b56097c66283997
terra,low,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-ff09cd02,50.7780,53.1109,25.00,76.80,100.00,70.4545,78.1250,50.0000,False,77.0833,79.1667,75.0000,50.0000,79.1667,75.0000,83.3333,50.0000,3,349.617,1062931,0.469280,2026-09-14T13:06:19.840121+00:00,2026-09-14T13:12:09.461343+00:00,codex-cli 0.153.4,2a7a29f57f167c3138e35c130ca6b0291bc7830b492f683d018fd755505226a1
terra,low,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-dbcc17a8,44.3034,44.5818,0.00,80.04,100.00,87.8788,83.3333,100.0000,False,77.0833,79.1667,75.0000,100.0000,89.5833,87.5000,91.6667,100.0000,1,323.321,922075,0.451999,2026-09-14T10:58:30.158833+00:00,2026-09-14T11:03:53.484007+00:00,codex-cli 0.153.4,2726b5a4611b7926c4f1b63395973245c7c599cf30592ea6b6294f0fd08b1bda
terra,low,legacy-metercore-binary-parity,legacy-metercore-binary-parity-c588c52f,89.7070,91.9379,100.00,81.48,100.00,73.5795,71.8750,78.1250,False,75.0000,70.8333,79.1667,75.0000,68.7500,66.6667,70.8333,81.2500,9,508.696,1501472,0.707014,2026-09-14T11:17:26.746227+00:00,2026-09-14T11:25:55.448162+00:00,codex-cli 0.153.4,9ce459e871bd28568cba3d328964c6f27bf060b73d32fbac915a2f78ec38610d
